username,password
user0,FZN9
user1,ZZVM
user2,CVYQ
user3,MNQA
user4,5V2L
user5,YUPK
user6,WE3P
user7,EZ5K
user8,KR84
user9,6UBH
user10,13GL
user11,I28Z
user12,WI20
user13,DJDA
user14,P84E
user15,V7UF
user16,2FV8
user17,1TRU
user18,MXCI
user19,NTP8
user20,UBBS
user21,OTT5
user22,GFNV
user23,E7ZI
user24,FZ8W
user25,IGB3
user26,B32A
user27,W1PQ
user28,1SI1
user29,TUEP
user30,G3PL
user31,EW2Z
user32,0JNM
user33,1YY1
user34,0NS5
user35,5Z3A
user36,PACR
user37,A9AL
user38,VDBN
user39,4ENP
user40,52GY
user41,FH4Z
user42,XJJV
user43,0OQ6
user44,9IOC
user45,LXTT
user46,MR5J
user47,KHF9
user48,O0M8
user49,5EXI
user50,CKYR
user51,SUQI
user52,ZAQ4
user53,OQEH
user54,ZYIM
user55,RCJP
user56,5WPC
user57,7EZT
user58,LECS
user59,89IN
user60,V9O4
user61,L93V
user62,ZR0T
user63,QSAE
user64,FC5U
user65,MTBJ
user66,98HC
user67,H1MR
user68,7W71
user69,HXGX
user70,YEE3
user71,UQED
user72,GG6X
user73,ETIM
user74,K08G
user75,E3M7
user76,H08F
user77,6WH9
user78,HTMT
user79,3UEB
user80,N1Y9
user81,FFCB
user82,O9UJ
user83,YJTZ
user84,W0MI
user85,K2AR
user86,GBON
user87,ZXU5
user88,UCDL
user89,PEFM
user90,88CE
user91,AUVJ
user92,YV34
user93,FPWG
user94,AAUT
user95,2X2F
user96,2O56
user97,5HWG
user98,3DT3
user99,MUJU
admin,HHZ6
guest,
